No,DHIS2 Code,MoH_Facility_Name,MoH_Facility_ID,HFR Code,DATIM_ID,SNU,PSNU,Facility,Facility,Military,Funding Agency,IP,COP23FY24
43,MaNVjAZZZuF,Ilembula Other Hospital,MaNVjAZZZuF,101732-6,B4j08aMVr8m,Njombe,Wanging'ombe District Council,Ilembula Other Hospital,Ilembula Other Hospital,,USAID,Deloitte,1
44,WB3EQj2NFin,Nachingwea District Hospital,WB3EQj2NFin,106063-1,N0SVts6lzsW,Lindi,Nachingwea District Council,Nachingwea District Hospital,Nachingwea District Hospital,,USAID,Deloitte,1
45,QtR9VcTYdky,Lugoda Other Hospital,QtR9VcTYdky,103646-6,RI4wyj7qqPL,Iringa,Mufindi District Council,Lugoda Other Hospital,Lugoda Other Hospital,,USAID,Deloitte,1
46,tNo7WxkmuoN,Kilosa District Hospital,tNo7WxkmuoN,102877-8,sQUWQLlhsln,Morogoro,Kilosa District Council,Kilosa District Hospital,Kilosa District Hospital,,USAID,Deloitte,1
47,QySGdY9R9Aq,Gairo Health Center,QySGdY9R9Aq,101168-3,nDVtvgA9r75,Morogoro,Gairo District Council,Gairo Health Center,Gairo Health Center,,USAID,Deloitte,1
48,KkeJGnxzOrl,Mjimwema Health Center,KkeJGnxzOrl,105028-5,HuYaInxWmJR,Ruvuma,Songea Municipal Council,Mjimwema Health Center,Mjimwema Health Center,,USAID,Deloitte,1
49,vwv1DUhKZGa,Consolata Other Hospital,vwv1DUhKZGa,101667-4,jTTB3j739nL,Njombe,Makete District Council,Consolata Other Hospital,Consolata Other Hospital,,USAID,Deloitte,1
50,KOtVcIL3dzG,Ngome Health Center,KOtVcIL3dzG,106408-8,FqoAqMeY03w,Iringa,Iringa Municipal Council,Ngome Health Center,Ngome Health Center,,USAID,Deloitte,1
51,xhOLtMOrd0d,Alamano Dispensary,xhOLtMOrd0d,100080-1,VyHgDfZoToS,Iringa,Iringa Municipal Council,Alamano Dispensary,Alamano Dispensary,,USAID,Deloitte,1
52,GtkoXdoNc0v,Kibaoni Health Center,GtkoXdoNc0v,102583-2,pQ6qZlFWEDQ,Morogoro,Ifakara Town Council,Kibaoni Health Center,Kibaoni Health Center,,USAID,Deloitte,1
53,R0PfB2BtPbR,Bombambili Dispensary,R0PfB2BtPbR,100402-7,oveyHqkn7SW,Ruvuma,Songea Municipal Council,Bombambili Dispensary,Bombambili Dispensary,,USAID,Deloitte,1
54,zHwsK6gR3ng,Newala District Hospital,zHwsK6gR3ng,106320-5,su6yqDLHcA6,Mtwara,Newala Town Council,Newala District Hospital,Newala District Hospital,,USAID,Deloitte,1
55,EPI1PhDUDXm,Ihongole Health Center,EPI1PhDUDXm,101620-3,PW6JOedqmtv,Iringa,Mafinga Town Council,Ihongole Health Center,Ihongole Health Center,,USAID,Deloitte,1
56,IK9ON4KUYdz,St Joseph'S Mission Peramiho Other Hospital,IK9ON4KUYdz,106990-5,NBw5t2a8rMl,Ruvuma,Songea District Council,St Joseph'S Mission Peramiho Other Hospital,St Joseph'S Mission Peramiho Other Hospital,,USAID,Deloitte,1
57,TCxcwPOh6ex,Communita Di Saint Egidio Acap Dispensary,TCxcwPOh6ex,109580-1,W3Rt6dxXDbS,Iringa,Iringa Municipal Council,Communita Di Saint Egidio Acap Dispensary,Communita Di Saint Egidio Acap Dispensary,,USAID,Deloitte,1
58,PaSl1yibmgt,Igumbilo Dispensary,PaSl1yibmgt,101583-3,nHTbf5Ia4ft,Iringa,Iringa Municipal Council,Igumbilo Dispensary,Igumbilo Dispensary,,USAID,Deloitte,1
59,AijPbj8phQv,Mdabulo Dispensary,AijPbj8phQv,104700-0,SYbHdrQjLdY,Iringa,Mufindi District Council,Mdabulo Dispensary,Mdabulo Dispensary,,USAID,Deloitte,1
60,LOSGlFrrO5m,Matarawe Dispensary,LOSGlFrrO5m,104448-6,k04EiPbHcin,Ruvuma,Songea Municipal Council,Matarawe Dispensary,Matarawe Dispensary,,USAID,Deloitte,1
61,UtsnDJacl5M,Ruangwa Mjini Health Center,UtsnDJacl5M,107118-2,AR0Jz89aFnE,Lindi,Ruangwa District Council,Ruangwa Mjini Health Center,Ruangwa Mjini Health Center,,USAID,Deloitte,1
62,sPShDiKtr5j,Mang'Ula Health Center,sPShDiKtr5j,104264-7,ZVaqSMUCqeF,Morogoro,Ifakara Town Council,Mang'Ula Health Center,Mang'Ula Health Center,,USAID,Deloitte,1
63,yFBzFzNo9jN,Lugala Other Hospital,yFBzFzNo9jN,103630-0,lkVyl6ESnl8,Morogoro,Malinyi District Council,Lugala Other Hospital,Lugala Other Hospital,,USAID,Deloitte,1
64,CITzlQaKlPs,Usokami Health Center,CITzlQaKlPs,108184-3,sSuey8KfvsH,Iringa,Mufindi District Council,Usokami Health Center,Usokami Health Center,,USAID,Deloitte,1
65,BUVouyVk4gO,Tosamaganga Other Hospital,BUVouyVk4gO,107867-4,Vav6DnvcMeq,Iringa,Iringa District Council,Tosamaganga Other Hospital,Tosamaganga Other Hospital,,USAID,Deloitte,1
66,wk9BjYcbsoL,Madaba Health Center,wk9BjYcbsoL,103839-7,iN32kU2dEET,Ruvuma,Madaba District Council,Madaba Health Center,Madaba Health Center,,USAID,Deloitte,1
67,MoikyS7C7BT,Kipengere Health Center,MoikyS7C7BT,102999-0,WUkczYWTdqp,Njombe,Wanging'ombe District Council,Kipengere Health Center,Kipengere Health Center,,USAID,Deloitte,1
68,aCQRbjLycXK,Ipogolo Health Center,aCQRbjLycXK,101833-2,fLOe6kpikv5,Iringa,Iringa Municipal Council,Ipogolo Health Center,Ipogolo Health Center,,USAID,Deloitte,1
69,VS01tFfLiHv,Makete District Hospital,VS01tFfLiHv,104101-1,QIGiOxyJ16T,Njombe,Makete District Council,Makete District Hospital,Makete District Hospital,,USAID,Deloitte,1
70,rj9JzNUs7ni,St. Camilius Health Center,rj9JzNUs7ni,107578-7,nPTS7tfiK8W,Ruvuma,Songea Municipal Council,St. Camilius Health Center,St. Camilius Health Center,,USAID,Deloitte,1
71,C2ArNr46RXb,St. Kizito Other Hospital,C2ArNr46RXb,111050-1,pza1OndSwoK,Morogoro,Kilosa District Council,St. Kizito Other Hospital,St. Kizito Other Hospital,,USAID,Deloitte,1
72,UJayEkRB4kb,Likombe Health Center,UJayEkRB4kb,103516-1,UeWMZKWXdCw,Mtwara,Mtwara Municipal Council,Likombe Health Center,Likombe Health Center,,USAID,Deloitte,1
73,NicflP6NkTG,Dumila Dispensary,NicflP6NkTG,101039-6,gjkqx3lXcyu,Morogoro,Kilosa District Council,Dumila Dispensary,Dumila Dispensary,,USAID,Deloitte,1
74,T6A1dOba0Hw,Luhunga Dispensary,T6A1dOba0Hw,103676-3,wJWrs9Cvy9D,Iringa,Mufindi District Council,Luhunga Dispensary,Luhunga Dispensary,,USAID,Deloitte,1
75,jDm8uIUCyd8,Frelimo District Hospital,jDm8uIUCyd8,101153-5,rivDA4YJLwT,Iringa,Iringa Municipal Council,Frelimo District Hospital,Frelimo District Hospital,,USAID,Deloitte,1
76,so2iZFyyHtP,Mafiga Health Center,so2iZFyyHtP,110290-4,MSSt09XQDiq,Morogoro,Morogoro Municipal Council,Mafiga Health Center,Mafiga Health Center,,USAID,Deloitte,1
77,eYrC4TGgHSh,Makambako Rc Dispensary,eYrC4TGgHSh,104073-2,I0SukschsYX,Njombe,Makambako Town Council,Makambako Rc Dispensary,Makambako Rc Dispensary,,USAID,Deloitte,1
78,SgfN2XULXvO,Mngeta Health Center,SgfN2XULXvO,105250-5,MLj1sVTKKFm,Morogoro,Mlimba District Council,Mngeta Health Center,Mngeta Health Center,,USAID,Deloitte,1
79,WSLznRdxLn3,Turiani Other Hospital,WSLznRdxLn3,107959-9,SIWNqg8dE2e,Morogoro,Mvomero District Council,Turiani Other Hospital,Turiani Other Hospital,,USAID,Deloitte,1
80,mKGYWyLfK51,Liwale District Hospital,mKGYWyLfK51,103562-5,n1DR5jzmPyS,Lindi,Liwale District Council,Liwale District Hospital,Liwale District Hospital,,USAID,Deloitte,1
81,bBIFVaYyQB5,Namtumbo Health Center,bBIFVaYyQB5,109216-2,P4MGXh1Wuq5,Ruvuma,Namtumbo District Council,Namtumbo Health Center,Namtumbo Health Center,,USAID,Deloitte,1
82,yF5CQW1OmTR,Tandahimba District Hospital,yF5CQW1OmTR,107736-1,e3KqLz8VY4y,Mtwara,Tandahimba District Council,Tandahimba District Hospital,Tandahimba District Hospital,,USAID,Deloitte,1
83,DgyFSDrjtLe,Lupiro Health Center,DgyFSDrjtLe,103741-5,RpscxXNMG8y,Morogoro,Ulanga District Council,Lupiro Health Center,Lupiro Health Center,,USAID,Deloitte,1
84,fxteWUlY3Zw,Kigonsera Health Center,fxteWUlY3Zw,102726-7,YGp5TMkxsXF,Ruvuma,Mbinga District Council,Kigonsera Health Center,Kigonsera Health Center,,USAID,Deloitte,1
85,q8TO8wEiGVJ,Mapera Health Center,q8TO8wEiGVJ,104296-9,EP8r22su46I,Ruvuma,Mbinga District Council,Mapera Health Center,Mapera Health Center,,USAID,Deloitte,1
86,iBeikOjAksW,Mbingu Dispensary,iBeikOjAksW,111186-3,DhScR6vhG91,Morogoro,Mlimba District Council,Mbingu Dispensary,Mbingu Dispensary,,USAID,Deloitte,1
87,N6vRR0qnYMF,Mtwango Health Center,N6vRR0qnYMF,110947-9,lP3FQbMYz02,Njombe,Njombe District Council,Mtwango Health Center,Mtwango Health Center,,USAID,Deloitte,1
88,aiulNto8aKK,Kitanzini Dispensary,aiulNto8aKK,109597-5,xEzrN5H3fGc,Iringa,Iringa Municipal Council,Kitanzini Dispensary,Kitanzini Dispensary,,USAID,Deloitte,1
89,sPH9AbVKp3f,Idundilanga Dispensary,sPH9AbVKp3f,101496-8,ZbYFouTDkkt,Njombe,Njombe Town Council,Idundilanga Dispensary,Idundilanga Dispensary,,USAID,Deloitte,1
90,JbZCFNQCHt4,Chita Rural Dispensary,JbZCFNQCHt4,100848-1,bMEDvcFBLu7,Morogoro,Mlimba District Council,Chita Rural Dispensary,Chita Rural Dispensary,,USAID,Deloitte,1
91,e3CSmXhcwim,Kasanga Health Center,e3CSmXhcwim,102400-9,Eolu3aj1trb,Iringa,Mufindi District Council,Kasanga Health Center,Kasanga Health Center,,USAID,Deloitte,1
92,JD0Q439ENu5,Kidodi Health Center,JD0Q439ENu5,102662-4,MhlRZtg4qf2,Morogoro,Kilosa District Council,Kidodi Health Center,Kidodi Health Center,,USAID,Deloitte,1
93,aeZRkF0OVFK,Sokoine Regional Referral Hospital,aeZRkF0OVFK,107517-5,AIyFgoneWHw,Lindi,Lindi Municipal Council,Sokoine Regional Referral Hospital,Sokoine Regional Referral Hospital,,USAID,Deloitte,1
94,JHkuWzpcFZE,Mwaya Health Center,JHkuWzpcFZE,105984-9,WbwDD8Rw7PP,Morogoro,Ulanga District Council,Mwaya Health Center,Mwaya Health Center,,USAID,Deloitte,1
95,EdBa3T5eboz,Nyangao Other Hospital,EdBa3T5eboz,107643-9,KLI4IBnmXTg,Lindi,Mtama District Council,Nyangao Other Hospital,Nyangao Other Hospital,,USAID,Deloitte,1
96,wcKDOsEFzmE,Ligula Regional Referral Hospital,wcKDOsEFzmE,103503-9,Q6S6w18etUk,Mtwara,Mtwara Municipal Council,Ligula Regional Referral Hospital,Ligula Regional Referral Hospital,,USAID,Deloitte,1
97,aUs0ZdAz2hh,Itamba Dispensary,aUs0ZdAz2hh,109602-3,PU8FA8Ltru4,Iringa,Iringa Municipal Council,Itamba Dispensary,Itamba Dispensary,,USAID,Deloitte,1
98,bkgnS23y1Gs,Makole Health Center,bkgnS23y1Gs,104115-1,Wju5tA8Pa8z,Dodoma,Dodoma Municipal Council,Makole Health Center,Makole Health Center,,USAID,EGPAF,1
99,R3oV1QyOPyR,Dodoma Regional Referral Hospital,R3oV1QyOPyR,100991-9,GJTtdD5NFe7,Dodoma,Dodoma Municipal Council,Dodoma Regional Referral Hospital,Dodoma Regional Referral Hospital,,USAID,EGPAF,1
100,lKAxm7dimju,Mawenzi Regional Referral Hospital,lKAxm7dimju,104514-5,O4nN5UviHtb,Kilimanjaro,Moshi Municipal Council,Mawenzi Regional Referral Hospital,Mawenzi Regional Referral Hospital,,USAID,EGPAF,1
101,mPP11IHuwHU,St. Elizabeth Other Hospital,mPP11IHuwHU,107581-1,sAbhLuicNGv,Arusha,Arusha City Council,St. Elizabeth Other Hospital,St. Elizabeth Other Hospital,,USAID,EGPAF,1
102,hZGbTy42NTH,Kcmc Other Hospital,hZGbTy42NTH,102525-3,mzSbzgFfiEv,Kilimanjaro,Moshi Municipal Council,Kcmc Other Hospital,Kcmc Other Hospital,,USAID,EGPAF,1
103,g3ATGeDJpr0,Levolosi Health Center,g3ATGeDJpr0,103490-9,yuvleWr5Lr2,Arusha,Arusha City Council,Levolosi Health Center,Levolosi Health Center,,USAID,EGPAF,1
104,hcb09IcZvZo,Arusha Lutheran Medical Centre Center Other Hospital,hcb09IcZvZo,100188-2,ElPj16KSNVJ,Arusha,Arusha City Council,Arusha Lutheran Medical Centre Center Other Hospital,Arusha Lutheran Medical Centre Center Other Hospital,,USAID,EGPAF,1
105,Pec8VICou7M,Manyoni District Hospital,Pec8VICou7M,104284-5,gocLA3DsGuo,Singida,Manyoni District Council,Manyoni District Hospital,Manyoni District Hospital,,USAID,EGPAF,1
106,Nky82zx6NQw,Mt. Meru Regional Referral Hospital,Nky82zx6NQw,105316-4,GdSLs01rdPN,Arusha,Arusha City Council,Mt. Meru Regional Referral Hospital,Mt. Meru Regional Referral Hospital,,USAID,EGPAF,1
107,ZX30bx8U8Mj,Same District Hospital,ZX30bx8U8Mj,107265-1,SySFSGmIUr6,Kilimanjaro,Same District Council,Same District Hospital,Same District Hospital,,USAID,EGPAF,1
108,cWmUhrYe8Ty,Sokoine Health Center,cWmUhrYe8Ty,107516-7,j3SElBP8EH7,Singida,Singida Municipal Council,Sokoine Health Center,Sokoine Health Center,,USAID,EGPAF,1
109,qjdrnCtCgSC,Singida Regional Referral Hospital,qjdrnCtCgSC,107485-5,mAYmZpFCe2h,Singida,Singida Municipal Council,Singida Regional Referral Hospital,Singida Regional Referral Hospital,,USAID,EGPAF,1
110,S75EZoUUftE,Kaloleni Health Center,S75EZoUUftE,102258-1,e3CnSFj0AJJ,Arusha,Arusha City Council,Kaloleni Health Center,Kaloleni Health Center,,USAID,EGPAF,1
111,CpSKSrvy1bF,Village Of Hope Health Center,CpSKSrvy1bF,108263-5,tUY31w3gRzj,Dodoma,Dodoma Municipal Council,Village Of Hope Health Center,Village Of Hope Health Center,,USAID,EGPAF,1
112,lrrCPQvB9Pe,Babati Town District Hospital,lrrCPQvB9Pe,100211-2,YC4myequeDn,Manyara,Babati Town Council,Babati Town District Hospital,Babati Town District Hospital,,USAID,EGPAF,1
113,boeCiFUSS9R,Hai District Hospital,boeCiFUSS9R,101295-4,H32wglLsifS,Kilimanjaro,Hai District Council,Hai District Hospital,Hai District Hospital,,USAID,EGPAF,1
114,grwpKKRzlbs,Meru District Hospital,grwpKKRzlbs,100184-1,s3GjZrhH2MN,Arusha,Meru District Council,Meru District Hospital,Meru District Hospital,,USAID,EGPAF,1
115,yTifPnpZ4Mu,Mpwapwa District Hospital,yTifPnpZ4Mu,105399-0,SbOeezkgkxi,Dodoma,Mpwapwa District Council,Mpwapwa District Hospital,Mpwapwa District Hospital,,USAID,EGPAF,1
116,DbUJKzRyb1H,Usa Rc Health Center,DbUJKzRyb1H,109814-4,xVYspAZ2gIs,Arusha,Meru District Council,Usa Rc Health Center,Usa Rc Health Center,,USAID,EGPAF,1
117,M63y0lV6dCQ,Ngarenaro Health Center,M63y0lV6dCQ,106358-5,S4Ad0TiiKg9,Arusha,Arusha City Council,Ngarenaro Health Center,Ngarenaro Health Center,,USAID,EGPAF,1
118,sEn1fzvOU7m,Mirembe National Mental Health Hospital (Mnmh) National Super Specialist Hospital,sEn1fzvOU7m,104962-6,Iwf7mFEFBQb,Dodoma,Dodoma Municipal Council,Mirembe National Mental Health Hospital (Mnmh) National Super Specialist Hospital,Mirembe National Mental Health Hospital (Mnmh) National Super Specialist Hospital,,USAID,EGPAF,1
119,Lb0h5le6jGS,Kiomboi District Hospital,Lb0h5le6jGS,101849-8,rXOwjCuPoqu,Singida,Iramba District Council,Kiomboi District Hospital,Kiomboi District Hospital,,USAID,EGPAF,1
120,IzYp0MNy1j1,Kondoa District Hospital,IzYp0MNy1j1,103297-8,YbLGEdUJKxq,Dodoma,Kondoa Town Council,Kondoa District Hospital,Kondoa District Hospital,,USAID,EGPAF,1
121,ZE4NWJKxzVx,Mvumi Mission Other Hospital,ZE4NWJKxzVx,105775-1,KQrPeIlbLUK,Dodoma,Chamwino District Council,Mvumi Mission Other Hospital,Mvumi Mission Other Hospital,,USAID,EGPAF,1
122,kg70BCA6831,Majengo Health Center,kg70BCA6831,104057-5,e18PQnXrGHz,Kilimanjaro,Moshi Municipal Council,Majengo Health Center,Majengo Health Center,,USAID,EGPAF,1
123,q9I3PUvGTOj,Chamwino Health Center,q9I3PUvGTOj,100726-9,dKlgstRMZOX,Dodoma,Chamwino District Council,Chamwino Health Center,Chamwino Health Center,,USAID,EGPAF,1
124,PFhgilmD9i0,Himo Health Center,PFhgilmD9i0,109328-5,FuQ8to06axT,Kilimanjaro,Moshi District Council,Himo Health Center,Himo Health Center,,USAID,EGPAF,1
125,CED20OfRk97,Kibaya District Hospital,CED20OfRk97,102590-7,TIAOn3flmSf,Manyara,Kiteto District Council,Kibaya District Hospital,Kibaya District Hospital,,USAID,EGPAF,1
126,gQWcAtCpYvS,Mbeya Referral Hospital At Zonal Level,gQWcAtCpYvS,104601-0,CL44j67waek,Mbeya,Mbeya City Council,Mbeya Referral Hospital At Zonal Level,Mbeya Referral Hospital At Zonal Level,,DOD,HJF,1
127,kU9H4usNwyZ,Kyela District Hospital,kU9H4usNwyZ,103430-5,I9urj1bBYp2,Mbeya,Kyela District Council,Kyela District Hospital,Kyela District Hospital,,DOD,HJF,1
128,JcfMns411tn,Vwawa District Hospital,JcfMns411tn,108289-0,STRRCHD9zXd,Songwe,Mbozi District Council,Vwawa District Hospital,Vwawa District Hospital,,DOD,HJF,1
129,tP4PLIXB8Gq,Tunduma Health Center,tP4PLIXB8Gq,108850-9,BMJfyQju5bI,Songwe,Tunduma Town Council,Tunduma Health Center,Tunduma Health Center,,DOD,HJF,1
130,NjgmDadu3ff,Ruanda Health Center,NjgmDadu3ff,107113-3,uTY2vpKeSIO,Mbeya,Mbeya City Council,Ruanda Health Center,Ruanda Health Center,,DOD,HJF,1
131,VduMoQ0SKc6,Mbeya Regional Referral Hospital,VduMoQ0SKc6,104602-8,O4dyqq6eb39,Mbeya,Mbeya City Council,Mbeya Regional Referral Hospital,Mbeya Regional Referral Hospital,,DOD,HJF,1
132,ELNPNpO2WBC,Mbalizi Military Other Hospital,ELNPNpO2WBC,104561-6,eSs57t3fyqL,Mbeya,Mbeya District Council,Mbalizi Military Other Hospital,Mbalizi Military Other Hospital,Military,DOD,HJF,1
133,IDJsoooz7YQ,Igawilo District Hospital,IDJsoooz7YQ,101535-3,XUFtQclhDpW,Mbeya,Mbeya City Council,Igawilo District Hospital,Igawilo District Hospital,,DOD,HJF,1
